Paper Title,Figure Number,Point ID,Variable,Value,Reynolds number (Re),Geometry,P/e,e/D,Alpha,Aspect ratio,Number of ribbed walls,Reading on
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 38,Nu/Nu_0,1.6082726247162735,10000,Square duct,40.0,0.063,90,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 39,Nu/Nu_0,1.574558430877276,15000,Square duct,40.0,0.063,90,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 40,Nu/Nu_0,1.4881995398208903,20000,Square duct,40.0,0.063,90,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 41,Nu/Nu_0,1.4191281022948832,30000,Square duct,40.0,0.063,90,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 42,Nu/Nu_0,1.3263302818703804,40000,Square duct,40.0,0.063,90,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 43,Nu/Nu_0,1.2944058423549885,50000,Square duct,40.0,0.063,90,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 44,Nu/Nu_0,1.1867227880417517,70000,Square duct,40.0,0.063,90,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 45,Nu/Nu_0,1.178567856204394,90000,Square duct,40.0,0.063,90,1.0,2,Ribbed wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 46,Nu/Nu_0,0.8735667021397808,7000,Square duct,40.0,0.063,90,1.0,2,Smooth wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 47,Nu/Nu_0,0.9158219112967669,10000,Square duct,40.0,0.063,90,1.0,2,Smooth wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 48,Nu/Nu_0,0.9689590343860159,15000,Square duct,40.0,0.063,90,1.0,2,Smooth wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 49,Nu/Nu_0,1.0006858974657713,20000,Square duct,40.0,0.063,90,1.0,2,Smooth wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 50,Nu/Nu_0,0.9739114427513904,30000,Square duct,40.0,0.063,90,1.0,2,Smooth wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 51,Nu/Nu_0,0.9431682004411595,40000,Square duct,40.0,0.063,90,1.0,2,Smooth wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 52,Nu/Nu_0,0.9553947884048725,50000,Square duct,40.0,0.063,90,1.0,2,Smooth wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 53,Nu/Nu_0,0.9230066129213624,70000,Square duct,40.0,0.063,90,1.0,2,Smooth wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 7,pt 54,Nu/Nu_0,0.9359215328681952,90000,Square duct,40.0,0.063,90,1.0,2,Smooth wall
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 1,f/f_0,1.0026589406507012,6000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 2,f/f_0,1.0474986175668088,8000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 3,f/f_0,1.0759493670886076,10000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 4,f/f_0,1.1557121313326144,15000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 5,f/f_0,1.2042603696230088,20000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 6,f/f_0,1.3327331776734102,30000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 7,f/f_0,1.5142772468062993,50000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 8,f/f_0,1.5956921966022581,70000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 9,f/f_0,1.6991637669188355,90000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 10,f/f_0,0.8394318151149411,7000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 11,f/f_0,0.8227848101265821,10000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 12,f/f_0,0.8755394934337989,15000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 13,f/f_0,0.9031952772172567,20000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 14,f/f_0,1.0740862499036166,40000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 15,f/f_0,1.1839006619952237,70000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 16,f/f_0,1.2606698915849424,90000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 17,f/f_0,0.5013294703253506,6000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 18,f/f_0,0.5379746835443038,10000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 19,f/f_0,0.5603452757976313,15000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 20,f/f_0,0.6021301848115044,20000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 21,f/f_0,0.6713039061897603,40000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 22,f/f_0,0.7721091273881894,70000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 23,f/f_0,0.7673642818343128,90000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 24,f/f_0,0.7182847663315259,8000,Square duct,20.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 25,f/f_0,0.8054963339590949,15000,Square duct,20.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 26,f/f_0,0.9995498832550577,30000,Square duct,20.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 27,f/f_0,1.1357079351047243,50000,Square duct,20.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 28,f/f_0,1.315481626001679,90000,Square duct,20.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 29,f/f_0,0.4177745586044589,6000,Square duct,40.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 30,f/f_0,0.4430379746835443,10000,Square duct,40.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 31,f/f_0,0.5268639117100664,20000,Square duct,40.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 32,f/f_0,0.6624962954777559,50000,Square duct,40.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 9,pt 33,f/f_0,0.7673642818343128,90000,Square duct,40.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 1,f/f_0,3.5802874996787217,2500,Rectangular duct,10.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 2,f/f_0,3.9814581254331807,3000,Rectangular duct,10.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 3,f/f_0,4.470588536791901,5000,Rectangular duct,10.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 4,f/f_0,4.776077568757424,7000,Rectangular duct,10.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 5,f/f_0,5.221518987341772,10000,Rectangular duct,10.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 6,f/f_0,5.603452757976313,15000,Rectangular duct,10.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 7,f/f_0,6.20946753086864,20000,Rectangular duct,10.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 8,f/f_0,2.107830772288154,3000,Rectangular duct,20.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 9,f/f_0,2.7209169179587747,7000,Rectangular duct,20.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 10,f/f_0,3.0063291139240502,10000,Rectangular duct,20.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 11,f/f_0,3.2989334391121585,18000,Rectangular duct,20.0,0.102,90,11.6,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 12,f/f_0,1.2881188052872055,3000,Rectangular duct,15.0,0.056,90,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 13,f/f_0,1.4596741224205363,4000,Rectangular duct,15.0,0.056,90,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 14,f/f_0,1.8258702931750055,7500,Rectangular duct,15.0,0.056,90,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 15,f/f_0,1.8987341772151896,10000,Rectangular duct,15.0,0.056,90,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 10,pt 16,f/f_0,2.2579881930431416,20000,Rectangular duct,15.0,0.056,90,18.4,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 1,Nu/Nu_0,1.6021620260325957,8000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 2,Nu/Nu_0,1.574558430877276,15000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 3,Nu/Nu_0,1.5304322671807564,30000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 4,Nu/Nu_0,1.4793209626914152,50000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 5,Nu/Nu_0,1.4834034850521896,70000,Square duct,10.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 6,Nu/Nu_0,1.5189241455653695,10000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 7,Nu/Nu_0,1.4112237015542928,20000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 8,Nu/Nu_0,1.391302061073415,30000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 9,Nu/Nu_0,1.2944058423549885,50000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 10,Nu/Nu_0,1.3185808756019464,70000,Square duct,10.0,0.042,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 11,Nu/Nu_0,1.3402271872635612,10000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 12,Nu/Nu_0,1.2572720250210971,20000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 13,Nu/Nu_0,1.2521718549660734,30000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 14,Nu/Nu_0,1.2019482821867749,50000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 15,Nu/Nu_0,1.153758266151703,70000,Square duct,10.0,0.021,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 16,Nu/Nu_0,1.4519127862021914,10000,Square duct,20.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 17,Nu/Nu_0,1.4112237015542928,20000,Square duct,20.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 18,Nu/Nu_0,1.2944058423549885,50000,Square duct,20.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 19,Nu/Nu_0,1.2856163537118976,70000,Square duct,20.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 20,Nu/Nu_0,1.2955529476881091,10000,Square duct,40.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 21,Nu/Nu_0,1.2316134122655644,20000,Square duct,40.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 22,Nu/Nu_0,1.1711290954640372,50000,Square duct,40.0,0.063,90,1.0,2,
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 11,pt 23,Nu/Nu_0,1.153758266151703,70000,Square duct,40.0,0.063,90,1.0,2,
